Territory;Year;Total;Urban;Rural
Palanga t. mun.;2004;17222;17222;
Palanga t. mun.;2003;17324;17324;
Palanga t. mun.;2002;17372;17372;
Palanga t. mun.;2001;17619;17619;
Palanga t. mun.;2000;17761;;
Palanga t. mun.;1999;17981;;
Palanga t. mun.;1998;18285;;
Palanga t. mun.;1997;18619;;
Palanga t. mun.;1996;18972;;
Panevėžys c. mun.;2018;88678;88678;
Panevėžys c. mun.;2017;91054;91054;
Panevėžys c. mun.;2016;93598;93598;
Panevėžys c. mun.;2015;95202;95202;
Panevėžys c. mun.;2014;96328;96328;
Panevėžys c. mun.;2013;97343;97343;
Panevėžys c. mun.;2012;98469;98469;
Panevėžys c. mun.;2011;100027;100027;
Panevėžys c. mun.;2010;103101;103101;
Panevėžys c. mun.;2009;104793;104793;
Panevėžys c. mun.;2008;106495;106495;
Panevėžys c. mun.;2007;108314;108314;
Panevėžys c. mun.;2006;109901;109901;
Panevėžys c. mun.;2005;112543;112543;
Panevėžys c. mun.;2004;114917;114917;
Panevėžys c. mun.;2003;116925;116925;
Panevėžys c. mun.;2002;118231;118231;
Panevėžys c. mun.;2001;119808;119808;
Panevėžys c. mun.;2000;121046;;
Panevėžys c. mun.;1999;122498;;
Panevėžys c. mun.;1998;123885;;
Panevėžys c. mun.;1997;125172;;
Panevėžys c. mun.;1996;126086;;
Panevėžys county;2018;218726;130112;88614
Panevėžys county;2017;225033;133824;91209
Panevėžys county;2016;231001;137800;93201
Panevėžys county;2015;235394;140234;95160
Panevėžys county;2014;238748;142047;96701
Panevėžys county;2013;242340;143810;98530
Panevėžys county;2012;246298;145923;100375
Panevėžys county;2011;251401;148498;102903
Panevėžys county;2010;259374;153052;106322
Panevėžys county;2009;264319;155513;108806
Panevėžys county;2008;268815;158198;110617
Panevėžys county;2007;273701;160981;112720
Panevėžys county;2006;278262;163410;114852
Panevėžys county;2005;284918;167236;117682
Panevėžys county;2004;290097;170581;119516
Panevėžys county;2003;294182;175199;118983
Panevėžys county;2002;296871;177009;119862
Panevėžys county;2001;300305;179261;121044
Panevėžys county;2000;302829;;
Panevėžys county;1999;306004;;
Panevėžys county;1998;309061;;
Panevėžys county;1997;312152;;
Panevėžys county;1996;314553;;
Panevėžys d. mun.;2018;35734;1425;34309
Panevėžys d. mun.;2017;36417;1437;34980
Panevėžys d. mun.;2016;36705;1472;35233
Panevėžys d. mun.;2015;37173;1489;35684
Panevėžys d. mun.;2014;37488;1522;35966
Panevėžys d. mun.;2013;37867;1558;36309
Panevėžys d. mun.;2012;38392;1560;36832
Panevėžys d. mun.;2011;39164;1584;37580
Panevėžys d. mun.;2010;40377;1626;38751
Panevėžys d. mun.;2009;40980;1654;39326
Panevėžys d. mun.;2008;41162;1683;39479
Panevėžys d. mun.;2007;41573;1689;39884
Panevėžys d. mun.;2006;41930;1699;40231
Panevėžys d. mun.;2005;42435;1670;40765
Panevėžys d. mun.;2004;42588;1686;40902
Panevėžys d. mun.;2003;42657;1705;40952
Panevėžys d. mun.;2002;42628;1723;40905
Panevėžys d. mun.;2001;42886;1746;41140
Panevėžys d. mun.;2000;42695;;
Panevėžys d. mun.;1999;42724;;
Panevėžys d. mun.;1998;42649;;
Panevėžys d. mun.;1997;42675;;
Panevėžys d. mun.;1996;42712;;
Pasvalys d. mun.;2018;23967;7581;16386
Pasvalys d. mun.;2017;24796;7836;16960
Pasvalys d. mun.;2016;25601;8092;17509
Pasvalys d. mun.;2015;26213;8184;18029
Pasvalys d. mun.;2014;26653;8263;18390
Pasvalys d. mun.;2013;27245;8399;18846
Pasvalys d. mun.;2012;27752;8557;19195
Pasvalys d. mun.;2011;28511;8757;19754
Pasvalys d. mun.;2010;29400;8976;20424
Pasvalys d. mun.;2009;30004;9134;20870
Pasvalys d. mun.;2008;30598;9276;21322
Pasvalys d. mun.;2007;31230;9437;21793
Pasvalys d. mun.;2006;31898;9595;22303
Pasvalys d. mun.;2005;32870;9781;23089
Pasvalys d. mun.;2004;33629;9980;23649
Pasvalys d. mun.;2003;34211;10056;24155
Pasvalys d. mun.;2002;34569;10110;24459
Pasvalys d. mun.;2001;34980;10206;24774
Pasvalys d. mun.;2000;35275;;
Pasvalys d. mun.;1999;35628;;
Pasvalys d. mun.;1998;36017;;
Pasvalys d. mun.;1997;36419;;
Pasvalys d. mun.;1996;36626;;
Plungė d. mun.;2018;33707;17296;16411
Plungė d. mun.;2017;34737;18014;16723
Plungė d. mun.;2016;35514;18593;16921
Plungė d. mun.;2015;36052;18904;17148
Plungė d. mun.;2014;36498;19153;17345
Plungė d. mun.;2013;37082;19483;17599
Plungė d. mun.;2012;37576;19785;17791
Plungė d. mun.;2011;38275;20085;18190
Plungė d. mun.;2010;39611;20916;18695
Plungė d. mun.;2009;40095;21167;18928
Plungė d. mun.;2008;40473;21311;19162
Plungė d. mun.;2007;40961;21454;19507
Plungė d. mun.;2006;41588;21800;19788
Plungė d. mun.;2005;42832;22493;20339
Plungė d. mun.;2004;43349;22834;20515
Plungė d. mun.;2003;43676;23158;20518
Plungė d. mun.;2002;43809;23254;20555
Plungė d. mun.;2001;44233;23436;20797
Plungė d. mun.;2000;44398;;
Plungė d. mun.;1999;44430;;
Plungė d. mun.;1998;44434;;
Plungė d. mun.;1997;44455;;
Plungė d. mun.;1996;44419;;
Prienai d. mun.;2018;26492;9642;16850
Prienai d. mun.;2017;27121;9922;17199
Prienai d. mun.;2016;27676;10244;17432
Prienai d. mun.;2015;28181;10410;17771
Prienai d. mun.;2014;28521;10546;17975
Prienai d. mun.;2013;29023;10772;18251
Prienai d. mun.;2012;29365;10924;18441
Prienai d. mun.;2011;29936;11133;18803
Prienai d. mun.;2010;30989;11628;19361
Prienai d. mun.;2009;31457;11785;19672
Prienai d. mun.;2008;31807;11843;19964
Prienai d. mun.;2007;32421;11986;20435
Prienai d. mun.;2006;33060;12164;20896
Prienai d. mun.;2005;33866;12356;21510
Prienai d. mun.;2004;34438;12508;21930
Prienai d. mun.;2003;35021;12720;22301
Prienai d. mun.;2002;35369;12775;22594
Prienai d. mun.;2001;35769;12859;22910
Prienai d. mun.;2000;35782;;
Prienai d. mun.;1999;35898;;
Prienai d. mun.;1998;35999;;
Prienai d. mun.;1997;35951;;
Prienai d. mun.;1996;36150;;
Radviliškis d. mun.;2018;36170;17800;18370
Radviliškis d. mun.;2017;37112;18160;18952
Radviliškis d. mun.;2016;38253;18798;19455
Radviliškis d. mun.;2015;39043;18980;20063
Radviliškis d. mun.;2014;39689;19189;20500
Radviliškis d. mun.;2013;40567;19462;21105
Radviliškis d. mun.;2012;41489;19803;21686
Radviliškis d. mun.;2011;42606;20254;22352
Radviliškis d. mun.;2010;44518;21185;23333
Radviliškis d. mun.;2009;45668;21637;24031
Radviliškis d. mun.;2008;46681;22002;24679
Radviliškis d. mun.;2007;47500;22183;25317
Radviliškis d. mun.;2006;48474;22483;25991
Radviliškis d. mun.;2005;49668;22882;26786
Radviliškis d. mun.;2004;50638;23231;27407
Radviliškis d. mun.;2003;51212;23750;27462
Radviliškis d. mun.;2002;51711;23956;27755
Radviliškis d. mun.;2001;52203;24197;28006
Radviliškis d. mun.;2000;52664;;
Radviliškis d. mun.;1999;53172;;
Radviliškis d. mun.;1998;53681;;
Radviliškis d. mun.;1997;53996;;
Radviliškis d. mun.;1996;54318;;
Raseiniai d. mun.;2018;32510;12691;19819
Raseiniai d. mun.;2017;33467;13079;20388
Raseiniai d. mun.;2016;34294;13491;20803
Raseiniai d. mun.;2015;35013;13742;21271
Raseiniai d. mun.;2014;35489;13829;21660
Raseiniai d. mun.;2013;36056;14039;22017
Raseiniai d. mun.;2012;36846;14243;22603
Raseiniai d. mun.;2011;37628;14428;23200
Raseiniai d. mun.;2010;38852;14954;23898
Raseiniai d. mun.;2009;39647;15188;24459
Raseiniai d. mun.;2008;40361;15415;24946
Raseiniai d. mun.;2007;40996;15587;25409
Raseiniai d. mun.;2006;41530;15664;25866
Raseiniai d. mun.;2005;42282;15824;26458
Raseiniai d. mun.;2004;42958;15993;26965
Raseiniai d. mun.;2003;43438;16098;27340
Raseiniai d. mun.;2002;43880;16193;27687
Raseiniai d. mun.;2001;44177;16264;27913
Raseiniai d. mun.;2000;44520;;
Raseiniai d. mun.;1999;44788;;
Raseiniai d. mun.;1998;45046;;
Raseiniai d. mun.;1997;45367;;
Raseiniai d. mun.;1996;45677;;
Republic of Lithuania;2018;2808901;1884722;924179
Republic of Lithuania;2017;2847904;1911068;936836
Republic of Lithuania;2016;2888558;1943228;945330
Republic of Lithuania;2015;2921262;1962613;958649
Republic of Lithuania;2014;2943472;1974580;968892
Republic of Lithuania;2013;2971905;1989268;982637
Republic of Lithuania;2012;3003641;2005604;998037
Republic of Lithuania;2011;3052588;2037126;1015462
Republic of Lithuania;2010;3141976;2099064;1042912
Republic of Lithuania;2009;3183856;2125433;1058423
Republic of Lithuania;2008;3212605;2144383;1068222
Republic of Lithuania;2007;3249983;2167358;1082625
Republic of Lithuania;2006;3289835;2190656;1099179
Republic of Lithuania;2005;3355220;2233522;1121698
Republic of Lithuania;2004;3398929;2264893;1134036
Republic of Lithuania;2003;3431497;2295077;1136420
Republic of Lithuania;2002;3454637;2310969;1143668
Republic of Lithuania;2001;3486998;2334193;1152805
Republic of Lithuania;2000;3512074;2357087;1154987
Republic of Lithuania;1999;3536401;2377205;1159196
Republic of Lithuania;1998;3562261;2398501;1163760
Republic of Lithuania;1997;3588013;2428656;1159357
Republic of Lithuania;1996;3615212;2432899;1182313
Rietavas mun.;2018;7542;3200;4342
Rietavas mun.;2017;7727;3305;4422
Rietavas mun.;2016;7947;3437;4510
Rietavas mun.;2015;8096;3516;4580
Rietavas mun.;2014;8255;3574;4681
Rietavas mun.;2013;8399;3635;4764
Rietavas mun.;2012;8537;3192;5345
Rietavas mun.;2011;8717;3258;5459
Rietavas mun.;2010;8981;3364;5617
Rietavas mun.;2009;9205;3426;5779
Rietavas mun.;2008;9437;3502;5935
Rietavas mun.;2007;9660;3589;6071
Rietavas mun.;2006;9854;3669;6185
Rietavas mun.;2005;10151;3761;6390
Rietavas mun.;2004;10323;3831;6492
Rietavas mun.;2003;10453;3910;6543
Rietavas mun.;2002;10588;3925;6663
Rietavas mun.;2001;10681;3979;6702
Rietavas mun.;2000;10697;;
Rietavas mun.;1999;10773;;
Rietavas mun.;1998;10786;;
Rietavas mun.;1997;10822;;
Rietavas mun.;1996;10800;;
Rokiškis d. mun.;2018;29472;13922;15550
Rokiškis d. mun.;2017;30451;14363;16088
Rokiškis d. mun.;2016;31454;14860;16594
Rokiškis d. mun.;2015;32191;15143;17048
Rokiškis d. mun.;2014;32748;15362;17386
Rokiškis d. mun.;2013;33434;15598;17836
Rokiškis d. mun.;2012;34218;15896;18322
Rokiškis d. mun.;2011;35022;16284;18738
Rokiškis d. mun.;2010;35993;16739;19254
Rokiškis d. mun.;2009;36768;16994;19774
Rokiškis d. mun.;2008;37549;17242;20307
Rokiškis d. mun.;2007;38309;17507;20802
Rokiškis d. mun.;2006;39098;17797;21301
Rokiškis d. mun.;2005;40097;18234;21863
Rokiškis d. mun.;2004;40832;18503;22329
Rokiškis d. mun.;2003;41434;20731;20703
Rokiškis d. mun.;2002;41888;20936;20952
Rokiškis d. mun.;2001;42511;21225;21286
Rokiškis d. mun.;2000;43129;;
Rokiškis d. mun.;1999;43731;;
Rokiškis d. mun.;1998;44373;;
Rokiškis d. mun.;1997;45093;;
Rokiškis d. mun.;1996;45718;;
Šakiai d. mun.;2018;28039;8277;19762
Šakiai d. mun.;2017;28938;8561;20377
Šakiai d. mun.;2016;29693;8852;20841
Šakiai d. mun.;2015;30321;9043;21278
Šakiai d. mun.;2014;30861;9117;21744
Šakiai d. mun.;2013;31402;9203;22199
Šakiai d. mun.;2012;32026;9403;22623
Šakiai d. mun.;2011;32590;9538;23052
Šakiai d. mun.;2010;33486;9752;23734
Šakiai d. mun.;2009;34110;9892;24218
Šakiai d. mun.;2008;34784;10053;24731
Šakiai d. mun.;2007;35435;10171;25264
Šakiai d. mun.;2006;36073;10223;25850
Šakiai d. mun.;2005;37004;10372;26632
Šakiai d. mun.;2004;37575;10560;27015
Šakiai d. mun.;2003;38158;10648;27510
Šakiai d. mun.;2002;38438;10731;27707
Šakiai d. mun.;2001;38788;10816;27972
Šakiai d. mun.;2000;39066;;
Šakiai d. mun.;1999;39238;;
Šakiai d. mun.;1998;39421;;
Šakiai d. mun.;1997;39495;;
Šakiai d. mun.;1996;39625;;
Šalčininkai d. mun.;2018;31265;10771;20494
Šalčininkai d. mun.;2017;31789;10855;20934
Šalčininkai d. mun.;2016;32305;10997;21308
Šalčininkai d. mun.;2015;32705;10977;21728
Šalčininkai d. mun.;2014;33172;10915;22257
Šalčininkai d. mun.;2013;33710;10887;22823
Šalčininkai d. mun.;2012;34175;10851;23324
Šalčininkai d. mun.;2011;34671;10895;23776
Šalčininkai d. mun.;2010;35357;11122;24235
Šalčininkai d. mun.;2009;35802;11207;24595
Šalčininkai d. mun.;2008;36145;11254;24891
Šalčininkai d. mun.;2007;36566;11263;25303
Šalčininkai d. mun.;2006;37016;11298;25718
Šalčininkai d. mun.;2005;37727;11423;26304
Šalčininkai d. mun.;2004;38205;11480;26725
Šalčininkai d. mun.;2003;38563;11476;27087
Šalčininkai d. mun.;2002;38903;11511;27392
Šalčininkai d. mun.;2001;39384;11597;27787
Šalčininkai d. mun.;2000;39502;;
Šalčininkai d. mun.;1999;39610;;
Šalčininkai d. mun.;1998;39850;;
Šalčininkai d. mun.;1997;39974;;
Šalčininkai d. mun.;1996;40097;;
Šiauliai c. mun.;2018;100575;100575;
Šiauliai c. mun.;2017;101214;101214;
Šiauliai c. mun.;2016;102981;102981;
Šiauliai c. mun.;2015;104569;104569;
Šiauliai c. mun.;2014;105610;105610;
Šiauliai c. mun.;2013;106470;106470;
Šiauliai c. mun.;2012;107689;107689;
Šiauliai c. mun.;2011;109748;109748;
Šiauliai c. mun.;2010;114506;114506;
Šiauliai c. mun.;2009;116196;116196;
Šiauliai c. mun.;2008;117829;117829;
Šiauliai c. mun.;2007;120272;120272;
Šiauliai c. mun.;2006;122236;122236;
Šiauliai c. mun.;2005;125360;125360;
Šiauliai c. mun.;2004;127805;127805;
Šiauliai c. mun.;2003;130366;130366;
Šiauliai c. mun.;2002;131977;131977;
Šiauliai c. mun.;2001;134032;134032;
Šiauliai c. mun.;2000;135541;;
Šiauliai c. mun.;1999;137128;;
Šiauliai c. mun.;1998;138856;;
Šiauliai c. mun.;1997;140148;;
Šiauliai c. mun.;1996;141129;;
Šiauliai county;2018;265467;167491;97976
Šiauliai county;2017;270482;169928;100554
Šiauliai county;2016;276329;173729;102600
Šiauliai county;2015;281632;176446;105186
Šiauliai county;2014;285763;178435;107328
Šiauliai county;2013;290471;180619;109852
Šiauliai county;2012;295824;183228;112596
Šiauliai county;2011;303110;187133;115977
Šiauliai county;2010;316278;195050;121228
Šiauliai county;2009;323353;198675;124678
Šiauliai county;2008;328699;201758;126941
Šiauliai county;2007;335221;205508;129713
Šiauliai county;2006;341761;208915;132846
Šiauliai county;2005;350938;213975;136963
Šiauliai county;2004;357441;218093;139348
Šiauliai county;2003;362783;222134;140649
Šiauliai county;2002;366330;224631;141699
Šiauliai county;2001;370444;227518;142926
Šiauliai county;2000;373605;;
Šiauliai county;1999;376915;;
Šiauliai county;1998;380314;;
Šiauliai county;1997;382927;;
Šiauliai county;1996;385257;;
Šiauliai d. mun.;2018;41209;10916;30293
Šiauliai d. mun.;2017;41441;11116;30325
Šiauliai d. mun.;2016;41521;11230;30291
Šiauliai d. mun.;2015;41767;11256;30511
Šiauliai d. mun.;2014;42197;11409;30788
Šiauliai d. mun.;2013;42748;11534;31214
Šiauliai d. mun.;2012;43374;11691;31683
Šiauliai d. mun.;2011;44561;12049;32512
Šiauliai d. mun.;2010;46779;12749;34030
Šiauliai d. mun.;2009;47883;13075;34808
Šiauliai d. mun.;2008;48124;13160;34964
Šiauliai d. mun.;2007;48624;13296;35328
Šiauliai d. mun.;2006;49342;13473;35869
Šiauliai d. mun.;2005;50559;13668;36891
Šiauliai d. mun.;2004;51002;13808;37194
Šiauliai d. mun.;2003;51234;13984;37250
Šiauliai d. mun.;2002;51427;14121;37306
Šiauliai d. mun.;2001;51617;14186;37431
Šiauliai d. mun.;2000;51729;;
Šiauliai d. mun.;1999;51715;;
Šiauliai d. mun.;1998;51545;;
Šiauliai d. mun.;1997;51452;;
Šiauliai d. mun.;1996;51222;;
Šilalė d. mun.;2018;23060;4921;18139
Šilalė d. mun.;2017;23791;5114;18677
Šilalė d. mun.;2016;24433;5397;19036
Šilalė d. mun.;2015;24869;5459;19410
Šilalė d. mun.;2014;25191;5454;19737
Šilalė d. mun.;2013;25533;5507;20026
Šilalė d. mun.;2012;26047;5445;20602
Šilalė d. mun.;2011;26586;5486;21100
Šilalė d. mun.;2010;27416;5652;21764
Šilalė d. mun.;2009;27936;5701;22235
Šilalė d. mun.;2008;28439;5776;22663
Šilalė d. mun.;2007;28930;5823;23107
Šilalė d. mun.;2006;29586;5935;23651
Šilalė d. mun.;2005;30326;6060;24266
Šilalė d. mun.;2004;30768;6120;24648
Šilalė d. mun.;2003;31121;6227;24894
Šilalė d. mun.;2002;31405;6292;25113
Šilalė d. mun.;2001;31538;6294;25244
Šilalė d. mun.;2000;31686;;
Šilalė d. mun.;1999;31814;;
Šilalė d. mun.;1998;32063;;
Šilalė d. mun.;1997;32367;;
Šilalė d. mun.;1996;32613;;
Šilutė d. mun.;2018;38749;15419;23330
Šilutė d. mun.;2017;39902;15856;24046
Šilutė d. mun.;2016;41093;16521;24572
Šilutė d. mun.;2015;41814;16812;25002
Šilutė d. mun.;2014;42447;17002;25445
Šilutė d. mun.;2013;43218;17152;26066
Šilutė d. mun.;2012;44040;17360;26680
Šilutė d. mun.;2011;45380;17858;27522
Šilutė d. mun.;2010;47713;18988;28725
Šilutė d. mun.;2009;48566;19221;29345
Šilutė d. mun.;2008;49207;19427;29780
Šilutė d. mun.;2007;49994;19735;30259
Šilutė d. mun.;2006;50834;20043;30791
Šilutė d. mun.;2005;52184;20616;31568
Šilutė d. mun.;2004;53143;21011;32132
Šilutė d. mun.;2003;53906;21158;32748
Šilutė d. mun.;2002;54449;21276;33173
Šilutė d. mun.;2001;55352;21473;33879
Šilutė d. mun.;2000;55867;;
Šilutė d. mun.;1999;56197;;
Šilutė d. mun.;1998;56480;;
Šilutė d. mun.;1997;56402;;
Šilutė d. mun.;1996;56444;;
Širvintos d. mun.;2018;15570;5690;9880
Širvintos d. mun.;2017;15863;5758;10105
Širvintos d. mun.;2016;16074;5860;10214
Širvintos d. mun.;2015;16333;5966;10367
Širvintos d. mun.;2014;16599;6075;10524
Širvintos d. mun.;2013;16908;6197;10711
Širvintos d. mun.;2012;17225;6261;10964
Širvintos d. mun.;2011;17659;6470;11189
Širvintos d. mun.;2010;18166;6753;11413
Širvintos d. mun.;2009;18461;6861;11600
Širvintos d. mun.;2008;18752;6941;11811
Širvintos d. mun.;2007;18999;6988;12011
Širvintos d. mun.;2006;19239;7022;12217
Širvintos d. mun.;2005;19529;7116;12413
Širvintos d. mun.;2004;19677;7182;12495
Širvintos d. mun.;2003;19869;7210;12659
Širvintos d. mun.;2002;20081;7271;12810
Širvintos d. mun.;2001;20223;7264;12959
Širvintos d. mun.;2000;20401;;
Širvintos d. mun.;1999;20525;;
Širvintos d. mun.;1998;20778;;
Širvintos d. mun.;1997;21003;;
Širvintos d. mun.;1996;21125;;
Skuodas d. mun.;2018;16914;5417;11497
Skuodas d. mun.;2017;17557;5582;11975
Skuodas d. mun.;2016;18057;5808;12249
Skuodas d. mun.;2015;18498;5922;12576
Skuodas d. mun.;2014;18908;6032;12876
Skuodas d. mun.;2013;19513;6231;13282
Skuodas d. mun.;2012;20124;6387;13737
Skuodas d. mun.;2011;20694;6542;14152
Skuodas d. mun.;2010;21394;6805;14589
Skuodas d. mun.;2009;21807;6935;14872
Skuodas d. mun.;2008;22348;7082;15266
Skuodas d. mun.;2007;22849;7170;15679
Skuodas d. mun.;2006;23427;7307;16120
Skuodas d. mun.;2005;24143;7469;16674
Skuodas d. mun.;2004;24613;7641;16972
Skuodas d. mun.;2003;24973;7711;17262
Skuodas d. mun.;2002;25291;7833;17458
Skuodas d. mun.;2001;25637;7885;17752
Skuodas d. mun.;2000;25852;;
Skuodas d. mun.;1999;26169;;
Skuodas d. mun.;1998;26527;;
Skuodas d. mun.;1997;26826;;
Skuodas d. mun.;1996;27078;;
Švenčionys d. mun.;2018;23881;14692;9189
Švenčionys d. mun.;2017;24565;15122;9443
Švenčionys d. mun.;2016;25180;15474;9706
Švenčionys d. mun.;2015;25719;15730;9989
Švenčionys d. mun.;2014;26259;15896;10363
Švenčionys d. mun.;2013;26853;16205;10648
Švenčionys d. mun.;2012;27434;16514;10920
Švenčionys d. mun.;2011;27961;16783;11178
Švenčionys d. mun.;2010;28690;17162;11528
Švenčionys d. mun.;2009;29218;17451;11767
Švenčionys d. mun.;2008;29613;17636;11977
Švenčionys d. mun.;2007;30148;17823;12325
Švenčionys d. mun.;2006;30690;18054;12636
Švenčionys d. mun.;2005;31436;18398;13038
Švenčionys d. mun.;2004;32002;18601;13401
Švenčionys d. mun.;2003;32428;18810;13618
Švenčionys d. mun.;2002;32812;18983;13829
Švenčionys d. mun.;2001;33221;19187;14034
Švenčionys d. mun.;2000;33552;;
Švenčionys d. mun.;1999;33818;;
Švenčionys d. mun.;1998;34192;;
Švenčionys d. mun.;1997;34482;;
Švenčionys d. mun.;1996;34623;;
Tauragė county;2018;95817;40714;55103
Tauragė county;2017;98608;41883;56725
Tauragė county;2016;101200;43158;58042
Tauragė county;2015;103083;43687;59396
Tauragė county;2014;104623;44109;60514
Tauragė county;2013;106335;44505;61830
Tauragė county;2012;108125;44923;63202
Tauragė county;2011;110511;45714;64797
Tauragė county;2010;114763;47664;67099
Tauragė county;2009;117100;48449;68651
Tauragė county;2008;119179;49191;69988
Tauragė county;2007;121549;49903;71646
Tauragė county;2006;124020;50867;73153
Tauragė county;2005;127690;52238;75452
Tauragė county;2004;130179;53098;77081
Tauragė county;2003;131808;53772;78036
Tauragė county;2002;132982;54227;78755
Tauragė county;2001;134277;54732;79545
Tauragė county;2000;134924;;
Tauragė county;1999;135834;;
Tauragė county;1998;137048;;
Tauragė county;1997;138167;;
Tauragė county;1996;139045;;
Tauragė d. mun.;2018;38921;23466;15455
Tauragė d. mun.;2017;39923;24054;15869
Tauragė d. mun.;2016;40788;24640;16148
Tauragė d. mun.;2015;41341;24870;16471
Tauragė d. mun.;2014;41839;25118;16721
Tauragė d. mun.;2013;42494;25384;17110
Tauragė d. mun.;2012;43124;25692;17432
Tauragė d. mun.;2011;44059;26191;17868
Tauragė d. mun.;2010;45894;27381;18513
Tauragė d. mun.;2009;46683;27809;18874
Tauragė d. mun.;2008;47318;28122;19196
Tauragė d. mun.;2007;48119;28546;19573
Tauragė d. mun.;2006;48911;29036;19875
Tauragė d. mun.;2005;50371;29844;20527
Tauragė d. mun.;2004;51352;30397;20955
Tauragė d. mun.;2003;51861;30732;21129
Tauragė d. mun.;2002;52196;30970;21226
Tauragė d. mun.;2001;52732;31266;21466
Tauragė d. mun.;2000;52972;;
Tauragė d. mun.;1999;53334;;
Tauragė d. mun.;1998;53794;;
Tauragė d. mun.;1997;54248;;
Tauragė d. mun.;1996;54684;;
Telšiai county;2018;134139;79445;54694
Telšiai county;2017;137769;81817;55952
Telšiai county;2016;141293;84574;56719
Telšiai county;2015;143511;85908;57603
Telšiai county;2014;145482;86953;58529
Telšiai county;2013;147728;88185;59543
Telšiai county;2012;149843;88947;60896
Telšiai county;2011;152594;90356;62238
Telšiai county;2010;157718;93611;64107
Telšiai county;2009;160532;95152;65380
Telšiai county;2008;162431;95976;66455
Telšiai county;2007;164963;97112;67851
Telšiai county;2006;167888;98730;69158
Telšiai county;2005;172426;101427;70999
Telšiai county;2004;175090;103340;71750
Telšiai county;2003;177139;104976;72163
Telšiai county;2002;178315;105558;72757
Telšiai county;2001;179952;106421;73531
Telšiai county;2000;180499;;
Telšiai county;1999;181291;;
Telšiai county;1998;182099;;
Telšiai county;1997;183126;;
Telšiai county;1996;184245;;
Telšiai d. mun.;2018;40682;23045;17637
Telšiai d. mun.;2017;41925;23744;18181
Telšiai d. mun.;2016;43059;24642;18417
Telšiai d. mun.;2015;43922;25068;18854
Telšiai d. mun.;2014;44610;25379;19231
Telšiai d. mun.;2013;45474;25863;19611
Telšiai d. mun.;2012;46273;26330;19943
Telšiai d. mun.;2011;47171;26789;20382
Telšiai d. mun.;2010;48655;27571;21084
Telšiai d. mun.;2009;49789;28171;21618
Telšiai d. mun.;2008;50589;28575;22014
Telšiai d. mun.;2007;51592;29077;22515
Telšiai d. mun.;2006;52882;29872;23010
Telšiai d. mun.;2005;54561;30841;23720
Telšiai d. mun.;2004;55587;31556;24031
Telšiai d. mun.;2003;56541;32141;24400
Telšiai d. mun.;2002;57119;32450;24669
Telšiai d. mun.;2001;57743;32765;24978
Telšiai d. mun.;2000;57938;;
Telšiai d. mun.;1999;58214;;
Telšiai d. mun.;1998;58736;;
Telšiai d. mun.;1997;59258;;
Telšiai d. mun.;1996;59855;;
Trakai d. mun.;2018;32492;16493;15999
Trakai d. mun.;2017;32701;16780;15921
Trakai d. mun.;2016;33020;17101;15919
Trakai d. mun.;2015;33437;17447;15990
Trakai d. mun.;2014;33556;17653;15903
Trakai d. mun.;2013;33899;17914;15985
Trakai d. mun.;2012;34230;18224;16006
Trakai d. mun.;2011;34453;18365;16088
Trakai d. mun.;2010;35006;18730;16276
Trakai d. mun.;2009;35361;19015;16346
Trakai d. mun.;2008;35550;19115;16435
Trakai d. mun.;2007;35907;19276;16631
Trakai d. mun.;2006;36328;19512;16816
Trakai d. mun.;2005;36712;19678;17034
Trakai d. mun.;2004;36916;19822;17094
Trakai d. mun.;2003;36953;19882;17071
Trakai d. mun.;2002;37118;19957;17161
Trakai d. mun.;2001;37388;20047;17341
Trakai d. mun.;2000;37322;;
Trakai d. mun.;1999;37384;;
Trakai d. mun.;1998;37527;;
Trakai d. mun.;1997;37788;;
Trakai d. mun.;1996;37896;;
Ukmergė d. mun.;2018;34376;20570;13806
Ukmergė d. mun.;2017;35265;21132;14133
Ukmergė d. mun.;2016;36160;21819;14341
Ukmergė d. mun.;2015;36919;22244;14675
Ukmergė d. mun.;2014;37548;22510;15038
Ukmergė d. mun.;2013;38355;22904;15451
Ukmergė d. mun.;2012;39222;23398;15824
Ukmergė d. mun.;2011;40270;24001;16269
Ukmergė d. mun.;2010;42042;25141;16901
Ukmergė d. mun.;2009;42893;25726;17167
Ukmergė d. mun.;2008;43643;26108;17535
Ukmergė d. mun.;2007;44350;26434;17916
Ukmergė d. mun.;2006;45142;26768;18374
Ukmergė d. mun.;2005;46154;27316;18838
Ukmergė d. mun.;2004;46920;27732;19188
Ukmergė d. mun.;2003;47556;28120;19436
Ukmergė d. mun.;2002;48071;28380;19691
Ukmergė d. mun.;2001;48703;28753;19950
Ukmergė d. mun.;2000;48942;;
Ukmergė d. mun.;1999;49373;;
Ukmergė d. mun.;1998;49845;;
Ukmergė d. mun.;1997;50183;;
Ukmergė d. mun.;1996;50541;;
Utena county;2018;129639;72412;57227
Utena county;2017;133481;74504;58977
Utena county;2016;137193;76886;60307
Utena county;2015;140170;77882;62288
Utena county;2014;142564;79193;63371
Utena county;2013;145760;80842;64918
Utena county;2012;149001;82651;66350
Utena county;2011;152577;84532;68045
Utena county;2010;157472;87402;70070
Utena county;2009;161062;89182;71880
Utena county;2008;164167;90609;73558
Utena county;2007;167678;92165;75513
Utena county;2006;170829;93059;77770
Utena county;2005;175226;95247;79979
