Republic of Lithuania;1994;46486;603
Republic of Lithuania;1995;45306;514
Republic of Lithuania;1996;42896;395
Republic of Lithuania;1997;41143;391
Republic of Lithuania;1998;40757;343
Republic of Lithuania;1999;40003;315
Republic of Lithuania;2000;38919;294
Republic of Lithuania;2001;40399;250
Republic of Lithuania;2002;41072;238
Republic of Lithuania;2003;40990;206
Republic of Lithuania;2004;41340;240
Republic of Lithuania;2005;43799;209
Republic of Lithuania;2006;44813;213
Republic of Lithuania;2007;45624;190
Republic of Lithuania;2008;43832;172
Republic of Lithuania;2009;42032;181
Republic of Lithuania;2010;42120;153
Republic of Lithuania;2011;41037;144
Republic of Lithuania;2012;40938;118
Republic of Lithuania;2013;41511;110
Republic of Lithuania;2014;40252;118
Republic of Lithuania;2015;41776;132
Republic of Lithuania;2016;41106;139
Republic of Lithuania;2017;40142;85
Vilnius county;1994;10440;130
Vilnius county;1995;10376;124
Vilnius county;1996;9809;82
Vilnius county;1997;9585;73
Vilnius county;1998;9509;78
Vilnius county;1999;9030;63
Vilnius county;2000;8925;46
Vilnius county;2001;9341;45
Vilnius county;2002;9418;56
Vilnius county;2003;9514;40
Vilnius county;2004;9421;45
Vilnius county;2005;10122;53
Vilnius county;2006;10831;72
Vilnius county;2007;11071;55
Vilnius county;2008;10657;36
Vilnius county;2009;10063;51
Vilnius county;2010;10021;39
Vilnius county;2011;9725;38
Vilnius county;2012;9817;40
Vilnius county;2013;10045;33
Vilnius county;2014;9906;23
Vilnius county;2015;10059;38
Vilnius county;2016;9932;38
Vilnius county;2017;9547;31
Elektrėnai mun.;1994;358;
Elektrėnai mun.;1995;399;
Elektrėnai mun.;1996;371;
Elektrėnai mun.;1997;343;
Elektrėnai mun.;1998;368;
Elektrėnai mun.;1999;342;
Elektrėnai mun.;2000;328;1
Elektrėnai mun.;2001;359;1
Elektrėnai mun.;2002;341;5
Elektrėnai mun.;2003;350;3
Elektrėnai mun.;2004;316;0
Elektrėnai mun.;2005;384;2
Elektrėnai mun.;2006;379;1
Elektrėnai mun.;2007;387;3
Elektrėnai mun.;2008;432;2
Elektrėnai mun.;2009;331;1
Elektrėnai mun.;2010;419;1
Elektrėnai mun.;2011;320;1
Elektrėnai mun.;2012;342;0
Elektrėnai mun.;2013;303;4
Elektrėnai mun.;2014;327;1
Elektrėnai mun.;2015;337;0
Elektrėnai mun.;2016;346;0
Elektrėnai mun.;2017;342;1
Šalčininkai d. mun.;1994;629;8
Šalčininkai d. mun.;1995;618;9
Šalčininkai d. mun.;1996;624;3
Šalčininkai d. mun.;1997;636;5
Šalčininkai d. mun.;1998;672;3
Šalčininkai d. mun.;1999;540;3
Šalčininkai d. mun.;2000;556;4
Šalčininkai d. mun.;2001;604;2
Šalčininkai d. mun.;2002;624;1
Šalčininkai d. mun.;2003;639;4
Šalčininkai d. mun.;2004;603;4
Šalčininkai d. mun.;2005;688;3
Šalčininkai d. mun.;2006;675;4
Šalčininkai d. mun.;2007;697;3
Šalčininkai d. mun.;2008;673;1
Šalčininkai d. mun.;2009;593;0
Šalčininkai d. mun.;2010;638;3
Šalčininkai d. mun.;2011;571;3
Šalčininkai d. mun.;2012;505;0
Šalčininkai d. mun.;2013;576;1
Šalčininkai d. mun.;2014;538;1
Šalčininkai d. mun.;2015;542;1
Šalčininkai d. mun.;2016;535;2
Šalčininkai d. mun.;2017;494;2
Širvintos d. mun.;1994;386;5
Širvintos d. mun.;1995;391;2
Širvintos d. mun.;1996;337;3
Širvintos d. mun.;1997;356;4
Širvintos d. mun.;1998;353;7
Širvintos d. mun.;1999;295;4
Širvintos d. mun.;2000;340;0
Širvintos d. mun.;2001;291;0
Širvintos d. mun.;2002;322;2
Širvintos d. mun.;2003;302;0
Širvintos d. mun.;2004;281;1
Širvintos d. mun.;2005;329;1
Širvintos d. mun.;2006;328;2
Širvintos d. mun.;2007;374;0
Širvintos d. mun.;2008;349;0
Širvintos d. mun.;2009;323;1
Širvintos d. mun.;2010;311;2
Širvintos d. mun.;2011;321;2
Širvintos d. mun.;2012;277;1
Širvintos d. mun.;2013;298;2
Širvintos d. mun.;2014;322;0
Širvintos d. mun.;2015;276;0
Širvintos d. mun.;2016;259;1
Širvintos d. mun.;2017;266;1
Švenčionys d. mun.;1994;647;5
Švenčionys d. mun.;1995;598;4
Švenčionys d. mun.;1996;553;5
Švenčionys d. mun.;1997;569;3
Švenčionys d. mun.;1998;588;2
Švenčionys d. mun.;1999;545;5
Švenčionys d. mun.;2000;503;4
Švenčionys d. mun.;2001;529;4
Švenčionys d. mun.;2002;541;2
Švenčionys d. mun.;2003;529;0
Švenčionys d. mun.;2004;594;3
Švenčionys d. mun.;2005;622;2
Švenčionys d. mun.;2006;617;3
Švenčionys d. mun.;2007;630;2
Švenčionys d. mun.;2008;556;2
Švenčionys d. mun.;2009;572;1
Švenčionys d. mun.;2010;591;0
Švenčionys d. mun.;2011;539;4
Švenčionys d. mun.;2012;524;2
Švenčionys d. mun.;2013;581;3
Švenčionys d. mun.;2014;523;1
Švenčionys d. mun.;2015;526;3
Švenčionys d. mun.;2016;498;2
Švenčionys d. mun.;2017;504;1
Trakai d. mun.;1994;614;16
Trakai d. mun.;1995;623;13
Trakai d. mun.;1996;587;7
Trakai d. mun.;1997;572;5
Trakai d. mun.;1998;543;11
Trakai d. mun.;1999;501;7
Trakai d. mun.;2000;581;2
Trakai d. mun.;2001;532;4
Trakai d. mun.;2002;554;4
Trakai d. mun.;2003;522;1
Trakai d. mun.;2004;582;3
Trakai d. mun.;2005;579;1
