Šiauliai county;2001;25.8;23.5;30;27
Šiauliai county;2002;25.9;23.8;30;27
Šiauliai county;2003;26.2;24.1;31;27
Šiauliai county;2004;26.5;24.7;31;28
Šiauliai county;2005;26.8;24.7;31;28
Šiauliai county;2006;26.9;24.8;31;28
Šiauliai county;2007;27.4;25.3;32;29
Šiauliai county;2008;27.5;25.6;32;29
Šiauliai county;2009;28;25.8;32;29
Šiauliai county;2010;28.4;26.3;32;29
Šiauliai county;2011;28.7;26.5;32;29
Šiauliai county;2012;28.8;26.5;32;29
Šiauliai county;2013;29;26.8;32;29
Šiauliai county;2014;29.2;26.9;33;30
Šiauliai county;2015;29.6;27.4;33;30
Šiauliai county;2016;29.9;27.9;34;31
Šiauliai county;2017;30.2;28.1;34;31
Tauragė county;2000;;;;
Tauragė county;2001;25.2;22.8;30;26
Tauragė county;2002;25.8;23.1;29;26
Tauragė county;2003;26.3;24;30;26
Tauragė county;2004;26.2;24;29;27
Tauragė county;2005;26.9;24.6;31;28
Tauragė county;2006;27.2;24.6;30;27
Tauragė county;2007;27.4;25;31;28
Tauragė county;2008;27.7;25.5;31;28
Tauragė county;2009;28.3;26.1;32;29
Tauragė county;2010;28;26;31;28
Tauragė county;2011;28.3;25.8;31;28
Tauragė county;2012;28.5;26.3;31;28
Tauragė county;2013;29;26.5;32;29
Tauragė county;2014;29.4;27.3;33;30
Tauragė county;2015;29.8;27.2;33;30
Tauragė county;2016;30.2;27.9;33;30
Tauragė county;2017;30;27.6;33;30
Telšiai county;2000;;;;
Telšiai county;2001;25.2;23.3;29;26
Telšiai county;2002;25.8;23.5;29;26
Telšiai county;2003;25.8;23.8;29;26
Telšiai county;2004;26.4;24;30;27
Telšiai county;2005;26.8;24.5;31;28
Telšiai county;2006;26.6;24.7;31;28
Telšiai county;2007;27.2;25.2;32;29
Telšiai county;2008;27.2;25.2;31;29
Telšiai county;2009;27.7;25.4;31;28
Telšiai county;2010;28;25.8;31;28
Telšiai county;2011;28.1;25.7;31;29
Telšiai county;2012;28.6;26.4;32;29
Telšiai county;2013;29.1;26.9;32;30
Telšiai county;2014;29.1;27;33;30
Telšiai county;2015;29.1;27.2;32;30
