Švenčionys d. mun.;2014;215;120;95
Švenčionys d. mun.;2015;225;111;114
Švenčionys d. mun.;2016;211;106;105
Švenčionys d. mun.;2017;194;106;88
Trakai d. mun.;1994;404;;
Trakai d. mun.;1995;405;;
Trakai d. mun.;1996;419;;
Trakai d. mun.;1997;378;;
Trakai d. mun.;1998;401;;
Trakai d. mun.;1999;378;;
Trakai d. mun.;2000;399;204;195
Trakai d. mun.;2001;342;163;179
Trakai d. mun.;2002;327;174;153
Trakai d. mun.;2003;316;157;159
Trakai d. mun.;2004;322;172;150
Trakai d. mun.;2005;327;161;166
Trakai d. mun.;2006;315;175;140
Trakai d. mun.;2007;339;187;152
Trakai d. mun.;2008;333;190;143
Trakai d. mun.;2009;372;199;173
Trakai d. mun.;2010;363;174;189
Trakai d. mun.;2011;349;185;164
Trakai d. mun.;2012;347;189;158
Trakai d. mun.;2013;381;214;167
Trakai d. mun.;2014;365;192;173
Trakai d. mun.;2015;335;183;152
Trakai d. mun.;2016;344;189;155
Trakai d. mun.;2017;348;187;161
Ukmergė d. mun.;1994;567;;
Ukmergė d. mun.;1995;541;;
Ukmergė d. mun.;1996;454;;
Ukmergė d. mun.;1997;487;;
Ukmergė d. mun.;1998;479;;
Ukmergė d. mun.;1999;469;;
Ukmergė d. mun.;2000;449;230;219
Ukmergė d. mun.;2001;420;205;215
Ukmergė d. mun.;2002;356;187;169
Ukmergė d. mun.;2003;355;198;157
Ukmergė d. mun.;2004;348;182;166
Ukmergė d. mun.;2005;366;196;170
Ukmergė d. mun.;2006;336;167;169
Ukmergė d. mun.;2007;354;181;173
Ukmergė d. mun.;2008;373;172;201
Ukmergė d. mun.;2009;381;185;196
Ukmergė d. mun.;2010;327;151;176
Ukmergė d. mun.;2011;310;158;152
Ukmergė d. mun.;2012;311;144;167
Ukmergė d. mun.;2013;319;155;164
Ukmergė d. mun.;2014;326;174;152
Ukmergė d. mun.;2015;341;176;165
Ukmergė d. mun.;2016;319;176;143
Ukmergė d. mun.;2017;310;160;150
Vilnius c. mun.;1994;5878;;
Vilnius c. mun.;1995;5757;;
Vilnius c. mun.;1996;5061;;
Vilnius c. mun.;1997;4979;;
Vilnius c. mun.;1998;5011;;
Vilnius c. mun.;1999;5092;;
Vilnius c. mun.;2000;4789;2463;2326
Vilnius c. mun.;2001;4449;2295;2154
Vilnius c. mun.;2002;4506;2328;2178
Vilnius c. mun.;2003;4636;2419;2217
Vilnius c. mun.;2004;4817;2491;2326
Vilnius c. mun.;2005;5011;2542;2469
Vilnius c. mun.;2006;5407;2748;2659
Vilnius c. mun.;2007;5634;2873;2761
Vilnius c. mun.;2008;6177;3155;3022
Vilnius c. mun.;2009;6527;3325;3202
Vilnius c. mun.;2010;6681;3401;3280
Vilnius c. mun.;2011;6466;3334;3132
Vilnius c. mun.;2012;6366;3236;3130
Vilnius c. mun.;2013;6287;3169;3118
Vilnius c. mun.;2014;6737;3466;3271
Vilnius c. mun.;2015;6991;3638;3353
Vilnius c. mun.;2016;7179;3716;3463
Vilnius c. mun.;2017;6817;3537;3280
Vilnius d. mun.;1994;903;;
Vilnius d. mun.;1995;911;;
Vilnius d. mun.;1996;1033;;
Vilnius d. mun.;1997;1023;;
Vilnius d. mun.;1998;994;;
Vilnius d. mun.;1999;986;;
Vilnius d. mun.;2000;973;523;450
Vilnius d. mun.;2001;905;468;437
Vilnius d. mun.;2002;808;417;391
Vilnius d. mun.;2003;772;403;369
Vilnius d. mun.;2004;915;470;445
Vilnius d. mun.;2005;956;481;475
Vilnius d. mun.;2006;950;471;479
Vilnius d. mun.;2007;1016;524;492
Vilnius d. mun.;2008;1050;536;514
Vilnius d. mun.;2009;1168;608;560
Vilnius d. mun.;2010;1084;534;550
Vilnius d. mun.;2011;1030;529;501
Vilnius d. mun.;2012;1068;554;514
Vilnius d. mun.;2013;1021;513;508
Vilnius d. mun.;2014;980;527;453
Vilnius d. mun.;2015;1086;581;505
Vilnius d. mun.;2016;1075;548;527
Vilnius d. mun.;2017;1019;524;495
Alytus county;1994;2443;;
Alytus county;1995;2362;;
Alytus county;1996;2133;;
Alytus county;1997;2093;;
Alytus county;1998;2061;;
Alytus county;1999;2018;;
Alytus county;2000;1908;962;946
Alytus county;2001;1733;865;868
Alytus county;2002;1550;784;766
Alytus county;2003;1614;806;808
Alytus county;2004;1488;746;742
Alytus county;2005;1483;731;752
Alytus county;2006;1464;755;709
Alytus county;2007;1350;692;658
Alytus county;2008;1370;701;669
Alytus county;2009;1428;736;692
Alytus county;2010;1326;701;625
Alytus county;2011;1301;689;612
Alytus county;2012;1377;685;692
Alytus county;2013;1333;684;649
Alytus county;2014;1297;643;654
Alytus county;2015;1348;644;704
Alytus county;2016;1249;651;598
Alytus county;2017;1234;639;595
