Territory;Year;Density
Rokiškis d. mun.;2011;19.4
Rokiškis d. mun.;2012;18.9
Rokiškis d. mun.;2013;18.5
Rokiškis d. mun.;2014;18.1
Rokiškis d. mun.;2015;17.8
Rokiškis d. mun.;2016;17.4
Rokiškis d. mun.;2017;16.9
Rokiškis d. mun.;2018;16.3
Šiauliai county;1996;44.0
Šiauliai county;1997;43.8
Šiauliai county;1998;43.5
Šiauliai county;1999;43.1
Šiauliai county;2000;42.7
Šiauliai county;2001;43.4
Šiauliai county;2002;42.9
Šiauliai county;2003;42.5
Šiauliai county;2004;41.9
Šiauliai county;2005;41.1
Šiauliai county;2006;40.0
Šiauliai county;2007;39.3
Šiauliai county;2008;38.5
Šiauliai county;2009;37.9
Šiauliai county;2010;37.0
Šiauliai county;2011;35.5
Šiauliai county;2012;34.6
Šiauliai county;2013;34.0
Šiauliai county;2014;33.5
Šiauliai county;2015;33.0
Šiauliai county;2016;32.4
Šiauliai county;2017;31.7
Šiauliai county;2018;31.1
Akmenė d. mun.;1996;
Akmenė d. mun.;1997;
Akmenė d. mun.;1998;
Akmenė d. mun.;1999;
Akmenė d. mun.;2000;
Akmenė d. mun.;2001;35.9
Akmenė d. mun.;2002;35.5
Akmenė d. mun.;2003;35.0
Akmenė d. mun.;2004;34.3
Akmenė d. mun.;2005;33.5
Akmenė d. mun.;2006;32.4
Akmenė d. mun.;2007;31.6
Akmenė d. mun.;2008;30.8
Akmenė d. mun.;2009;30.0
Akmenė d. mun.;2010;29.0
Akmenė d. mun.;2011;27.8
Akmenė d. mun.;2012;27.0
Akmenė d. mun.;2013;26.3
Akmenė d. mun.;2014;25.7
Akmenė d. mun.;2015;25.3
Akmenė d. mun.;2016;24.7
Akmenė d. mun.;2017;23.9
Akmenė d. mun.;2018;23.2
Joniškis d. mun.;1996;
Joniškis d. mun.;1997;
Joniškis d. mun.;1998;
Joniškis d. mun.;1999;
Joniškis d. mun.;2000;
Joniškis d. mun.;2001;27.7
Joniškis d. mun.;2002;27.5
Joniškis d. mun.;2003;27.2
Joniškis d. mun.;2004;26.9
Joniškis d. mun.;2005;26.5
Joniškis d. mun.;2006;25.8
Joniškis d. mun.;2007;25.2
Joniškis d. mun.;2008;24.8
Joniškis d. mun.;2009;24.4
Joniškis d. mun.;2010;23.8
Joniškis d. mun.;2011;22.8
Joniškis d. mun.;2012;22.2
Joniškis d. mun.;2013;21.6
Joniškis d. mun.;2014;21.1
Joniškis d. mun.;2015;20.7
Joniškis d. mun.;2016;20.1
Joniškis d. mun.;2017;19.5
Joniškis d. mun.;2018;18.8
Kelmė d. mun.;1996;
Kelmė d. mun.;1997;
Kelmė d. mun.;1998;
Kelmė d. mun.;1999;
Kelmė d. mun.;2000;
Kelmė d. mun.;2001;24.0
Kelmė d. mun.;2002;23.7
Kelmė d. mun.;2003;23.6
Kelmė d. mun.;2004;23.2
Kelmė d. mun.;2005;22.6
Kelmė d. mun.;2006;21.9
Kelmė d. mun.;2007;21.4
Kelmė d. mun.;2008;20.9
Kelmė d. mun.;2009;20.4
Kelmė d. mun.;2010;19.8
Kelmė d. mun.;2011;19.1
Kelmė d. mun.;2012;18.6
Kelmė d. mun.;2013;18.2
Kelmė d. mun.;2014;17.8
Kelmė d. mun.;2015;17.3
Kelmė d. mun.;2016;16.8
Kelmė d. mun.;2017;16.3
Kelmė d. mun.;2018;15.7
Pakruojis d. mun.;1996;
Pakruojis d. mun.;1997;
Pakruojis d. mun.;1998;
Pakruojis d. mun.;1999;
Pakruojis d. mun.;2000;
Pakruojis d. mun.;2001;22.4
Pakruojis d. mun.;2002;22.2
Pakruojis d. mun.;2003;22.0
Pakruojis d. mun.;2004;21.7
Pakruojis d. mun.;2005;21.3
Pakruojis d. mun.;2006;20.7
Pakruojis d. mun.;2007;20.2
Pakruojis d. mun.;2008;19.7
Pakruojis d. mun.;2009;19.3
Pakruojis d. mun.;2010;18.8
Pakruojis d. mun.;2011;18.1
Pakruojis d. mun.;2012;17.6
Pakruojis d. mun.;2013;17.1
Pakruojis d. mun.;2014;16.7
Pakruojis d. mun.;2015;16.4
Pakruojis d. mun.;2016;15.9
Pakruojis d. mun.;2017;15.4
Pakruojis d. mun.;2018;14.9
Radviliškis d. mun.;1996;
Radviliškis d. mun.;1997;
Radviliškis d. mun.;1998;
Radviliškis d. mun.;1999;
Radviliškis d. mun.;2000;
Radviliškis d. mun.;2001;31.9
Radviliškis d. mun.;2002;31.6
Radviliškis d. mun.;2003;31.3
Radviliškis d. mun.;2004;31.0
Radviliškis d. mun.;2005;30.4
Radviliškis d. mun.;2006;29.6
Radviliškis d. mun.;2007;29.1
Radviliškis d. mun.;2008;28.6
Radviliškis d. mun.;2009;27.9
Radviliškis d. mun.;2010;27.2
Radviliškis d. mun.;2011;26.1
Radviliškis d. mun.;2012;25.4
Radviliškis d. mun.;2013;24.8
Radviliškis d. mun.;2014;24.3
Radviliškis d. mun.;2015;23.9
Radviliškis d. mun.;2016;23.4
Radviliškis d. mun.;2017;22.7
Radviliškis d. mun.;2018;22.1
Šiauliai c. mun.;1996;
Šiauliai c. mun.;1997;
Šiauliai c. mun.;1998;
Šiauliai c. mun.;1999;
Šiauliai c. mun.;2000;
Šiauliai c. mun.;2001;1654.7
Šiauliai c. mun.;2002;1629.3
Šiauliai c. mun.;2003;1609.5
Šiauliai c. mun.;2004;1577.8
Šiauliai c. mun.;2005;1547.7
Šiauliai c. mun.;2006;1509.1
Šiauliai c. mun.;2007;1484.8
Šiauliai c. mun.;2008;1454.7
Šiauliai c. mun.;2009;1434.5
Šiauliai c. mun.;2010;1413.7
Šiauliai c. mun.;2011;1354.9
Šiauliai c. mun.;2012;1329.5
Šiauliai c. mun.;2013;1314.4
Šiauliai c. mun.;2014;1303.8
Šiauliai c. mun.;2015;1291.0
Šiauliai c. mun.;2016;1271.4
Šiauliai c. mun.;2017;1249.6
Šiauliai c. mun.;2018;1241.7
Šiauliai d. mun.;1996;
Šiauliai d. mun.;1997;
Šiauliai d. mun.;1998;
Šiauliai d. mun.;1999;
Šiauliai d. mun.;2000;
Šiauliai d. mun.;2001;28.6
Šiauliai d. mun.;2002;28.5
Šiauliai d. mun.;2003;28.4
Šiauliai d. mun.;2004;28.2
Šiauliai d. mun.;2005;28.0
Šiauliai d. mun.;2006;27.3
Šiauliai d. mun.;2007;26.9
Šiauliai d. mun.;2008;26.6
Šiauliai d. mun.;2009;26.5
Šiauliai d. mun.;2010;25.9
Šiauliai d. mun.;2011;24.7
Šiauliai d. mun.;2012;24.0
Šiauliai d. mun.;2013;23.7
Šiauliai d. mun.;2014;23.4
Šiauliai d. mun.;2015;23.1
Šiauliai d. mun.;2016;23.0
Šiauliai d. mun.;2017;22.9
Šiauliai d. mun.;2018;22.8
Tauragė county;1996;35.9
Tauragė county;1997;35.7
Tauragė county;1998;35.4
Tauragė county;1999;35.1
Tauragė county;2000;34.8
Tauragė county;2001;30.4
Tauragė county;2002;30.1
Tauragė county;2003;29.9
Tauragė county;2004;29.5
Tauragė county;2005;28.9
Tauragė county;2006;28.1
Tauragė county;2007;27.6
Tauragė county;2008;27.0
Tauragė county;2009;26.5
Tauragė county;2010;26.0
Tauragė county;2011;25.1
Tauragė county;2012;24.5
Tauragė county;2013;24.1
Tauragė county;2014;23.7
Tauragė county;2015;23.4
Tauragė county;2016;23.0
Tauragė county;2017;22.4
Tauragė county;2018;21.7
Jurbarkas d. mun.;1996;
Jurbarkas d. mun.;1997;
Jurbarkas d. mun.;1998;
Jurbarkas d. mun.;1999;
Jurbarkas d. mun.;2000;
Jurbarkas d. mun.;2001;25.1
Jurbarkas d. mun.;2002;24.7
Jurbarkas d. mun.;2003;24.5
Jurbarkas d. mun.;2004;24.1
Jurbarkas d. mun.;2005;23.6
Jurbarkas d. mun.;2006;22.8
Jurbarkas d. mun.;2007;22.4
Jurbarkas d. mun.;2008;21.9
Jurbarkas d. mun.;2009;21.4
Jurbarkas d. mun.;2010;20.9
Jurbarkas d. mun.;2011;20.1
Jurbarkas d. mun.;2012;19.7
Jurbarkas d. mun.;2013;19.4
Jurbarkas d. mun.;2014;19.0
Jurbarkas d. mun.;2015;18.7
Jurbarkas d. mun.;2016;18.3
Jurbarkas d. mun.;2017;17.8
Jurbarkas d. mun.;2018;17.3
Pagėgiai mun.;1996;
Pagėgiai mun.;1997;
Pagėgiai mun.;1998;
Pagėgiai mun.;1999;
Pagėgiai mun.;2000;
Pagėgiai mun.;2001;22.7
Pagėgiai mun.;2002;22.5
Pagėgiai mun.;2003;22.3
Pagėgiai mun.;2004;21.9
Pagėgiai mun.;2005;21.4
Pagėgiai mun.;2006;20.7
Pagėgiai mun.;2007;20.1
Pagėgiai mun.;2008;19.5
Pagėgiai mun.;2009;19.0
Pagėgiai mun.;2010;18.5
Pagėgiai mun.;2011;17.8
Pagėgiai mun.;2012;17.3
Pagėgiai mun.;2013;17.0
Pagėgiai mun.;2014;16.6
Pagėgiai mun.;2015;16.3
Pagėgiai mun.;2016;15.7
Pagėgiai mun.;2017;15.1
Pagėgiai mun.;2018;14.6
Šilalė d. mun.;1996;
Šilalė d. mun.;1997;
Šilalė d. mun.;1998;
Šilalė d. mun.;1999;
Šilalė d. mun.;2000;
Šilalė d. mun.;2001;26.5
Šilalė d. mun.;2002;26.4
Šilalė d. mun.;2003;26.2
Šilalė d. mun.;2004;25.9
Šilalė d. mun.;2005;25.5
Šilalė d. mun.;2006;24.9
Šilalė d. mun.;2007;24.4
Šilalė d. mun.;2008;23.9
Šilalė d. mun.;2009;23.5
Šilalė d. mun.;2010;23.1
Šilalė d. mun.;2011;22.4
Šilalė d. mun.;2012;21.9
Šilalė d. mun.;2013;21.5
Šilalė d. mun.;2014;21.2
Šilalė d. mun.;2015;20.9
Šilalė d. mun.;2016;20.6
Šilalė d. mun.;2017;20.0
Šilalė d. mun.;2018;19.4
Tauragė d. mun.;1996;
Tauragė d. mun.;1997;
Tauragė d. mun.;1998;
Tauragė d. mun.;1999;
Tauragė d. mun.;2000;
Tauragė d. mun.;2001;44.7
Tauragė d. mun.;2002;44.3
Tauragė d. mun.;2003;44.0
Tauragė d. mun.;2004;43.6
Tauragė d. mun.;2005;42.7
Tauragė d. mun.;2006;41.5
Tauragė d. mun.;2007;40.8
Tauragė d. mun.;2008;40.1
Tauragė d. mun.;2009;39.6
Tauragė d. mun.;2010;38.9
Tauragė d. mun.;2011;37.4
Tauragė d. mun.;2012;36.6
Tauragė d. mun.;2013;36.0
Tauragė d. mun.;2014;35.5
Tauragė d. mun.;2015;35.1
Tauragė d. mun.;2016;34.6
Tauragė d. mun.;2017;33.9
Tauragė d. mun.;2018;33.0
Telšiai county;1996;44.5
Telšiai county;1997;44.2
Telšiai county;1998;44.0
Telšiai county;1999;43.8
Telšiai county;2000;43.6
Telšiai county;2001;41.4
Telšiai county;2002;41.0
Telšiai county;2003;40.7
Telšiai county;2004;40.3
Telšiai county;2005;39.6
Telšiai county;2006;38.6
Telšiai county;2007;37.9
Telšiai county;2008;37.3
Telšiai county;2009;36.9
Telšiai county;2010;36.3
Telšiai county;2011;35.1
Telšiai county;2012;34.4
Telšiai county;2013;34.0
Telšiai county;2014;33.4
Telšiai county;2015;33.0
Telšiai county;2016;32.5
Telšiai county;2017;31.7
Telšiai county;2018;30.8
Mažeikiai d. mun.;1996;
Mažeikiai d. mun.;1997;
Mažeikiai d. mun.;1998;
Mažeikiai d. mun.;1999;
Mažeikiai d. mun.;2000;
Mažeikiai d. mun.;2001;55.2
Mažeikiai d. mun.;2002;54.8
Mažeikiai d. mun.;2003;54.5
Mažeikiai d. mun.;2004;54.0
Mažeikiai d. mun.;2005;53.2
Mažeikiai d. mun.;2006;52.1
Mažeikiai d. mun.;2007;51.4
Mažeikiai d. mun.;2008;50.8
Mažeikiai d. mun.;2009;50.4
Mažeikiai d. mun.;2010;49.6
Mažeikiai d. mun.;2011;47.9
Mažeikiai d. mun.;2012;47.1
Mažeikiai d. mun.;2013;46.5
Mažeikiai d. mun.;2014;46.0
Mažeikiai d. mun.;2015;45.5
Mažeikiai d. mun.;2016;44.9
Mažeikiai d. mun.;2017;43.8
Mažeikiai d. mun.;2018;42.8
Plungė d. mun.;1996;
Plungė d. mun.;1997;
Plungė d. mun.;1998;
Plungė d. mun.;1999;
Plungė d. mun.;2000;
Plungė d. mun.;2001;40.0
Plungė d. mun.;2002;39.6
Plungė d. mun.;2003;39.5
Plungė d. mun.;2004;39.2
Plungė d. mun.;2005;38.8
Plungė d. mun.;2006;37.6
Plungė d. mun.;2007;37.1
Plungė d. mun.;2008;36.6
Plungė d. mun.;2009;36.3
Plungė d. mun.;2010;35.8
Plungė d. mun.;2011;34.6
Plungė d. mun.;2012;34.0
Plungė d. mun.;2013;33.6
Plungė d. mun.;2014;33.0
Plungė d. mun.;2015;32.6
Plungė d. mun.;2016;32.1
Plungė d. mun.;2017;31.4
Plungė d. mun.;2018;30.5
Rietavas mun.;1996;
Rietavas mun.;1997;
Rietavas mun.;1998;
Rietavas mun.;1999;
Rietavas mun.;2000;
Rietavas mun.;2001;18.2
Rietavas mun.;2002;18.1
Rietavas mun.;2003;17.8
Rietavas mun.;2004;17.6
Rietavas mun.;2005;17.3
Rietavas mun.;2006;16.8
Rietavas mun.;2007;16.5
Rietavas mun.;2008;16.1
Rietavas mun.;2009;15.7
Rietavas mun.;2010;15.3
Rietavas mun.;2011;14.9
Rietavas mun.;2012;14.6
Rietavas mun.;2013;14.3
Rietavas mun.;2014;14.1
Rietavas mun.;2015;13.8
Rietavas mun.;2016;13.6
Rietavas mun.;2017;13.2
Rietavas mun.;2018;12.9
Telšiai d. mun.;1996;
Telšiai d. mun.;1997;
Telšiai d. mun.;1998;
Telšiai d. mun.;1999;
Telšiai d. mun.;2000;
Telšiai d. mun.;2001;40.1
Telšiai d. mun.;2002;39.7
Telšiai d. mun.;2003;39.3
Telšiai d. mun.;2004;38.6
Telšiai d. mun.;2005;37.9
Telšiai d. mun.;2006;36.7
Telšiai d. mun.;2007;35.9
Telšiai d. mun.;2008;35.2
Telšiai d. mun.;2009;34.6
Telšiai d. mun.;2010;33.8
Telšiai d. mun.;2011;32.8
Telšiai d. mun.;2012;32.2
Telšiai d. mun.;2013;31.6
Telšiai d. mun.;2014;31.0
Telšiai d. mun.;2015;30.5
Telšiai d. mun.;2016;29.9
Telšiai d. mun.;2017;29.1
Telšiai d. mun.;2018;28.3
Utena county;1996;27.4
Utena county;1997;27.1
Utena county;1998;26.8
Utena county;1999;26.5
Utena county;2000;26.2
Utena county;2001;25.9
Utena county;2002;25.5
Utena county;2003;25.2
Utena county;2004;24.8
Utena county;2005;24.3
Utena county;2006;23.7
Utena county;2007;23.3
Utena county;2008;22.8
Utena county;2009;22.4
Utena county;2010;21.9
Utena county;2011;21.2
Utena county;2012;20.7
Utena county;2013;20.2
Utena county;2014;19.8
Utena county;2015;19.5
Utena county;2016;19.1
Utena county;2017;18.6
Utena county;2018;18.0
Anykščiai d. mun.;1996;
Anykščiai d. mun.;1997;
Anykščiai d. mun.;1998;
Anykščiai d. mun.;1999;
Anykščiai d. mun.;2000;
Anykščiai d. mun.;2001;19.9
Anykščiai d. mun.;2002;19.7
Anykščiai d. mun.;2003;19.4
Anykščiai d. mun.;2004;19.1
Anykščiai d. mun.;2005;18.8
Anykščiai d. mun.;2006;18.3
Anykščiai d. mun.;2007;17.9
Anykščiai d. mun.;2008;17.5
Anykščiai d. mun.;2009;17.2
Anykščiai d. mun.;2010;16.8
Anykščiai d. mun.;2011;16.3
Anykščiai d. mun.;2012;15.9
Anykščiai d. mun.;2013;15.6
Anykščiai d. mun.;2014;15.2
Anykščiai d. mun.;2015;15.0
Anykščiai d. mun.;2016;14.6
Anykščiai d. mun.;2017;14.2
Anykščiai d. mun.;2018;13.7
Ignalina d. mun.;1996;
Ignalina d. mun.;1997;
Ignalina d. mun.;1998;
Ignalina d. mun.;1999;
Ignalina d. mun.;2000;
Ignalina d. mun.;2001;15.4
Ignalina d. mun.;2002;15.3
Ignalina d. mun.;2003;15.1
Ignalina d. mun.;2004;14.7
Ignalina d. mun.;2005;14.8
Ignalina d. mun.;2006;14.4
Ignalina d. mun.;2007;14.1
Ignalina d. mun.;2008;13.7
Ignalina d. mun.;2009;13.4
Ignalina d. mun.;2010;13.1
Ignalina d. mun.;2011;12.8
Ignalina d. mun.;2012;12.5
Ignalina d. mun.;2013;12.1
Ignalina d. mun.;2014;11.8
Ignalina d. mun.;2015;11.7
Ignalina d. mun.;2016;11.3
Ignalina d. mun.;2017;11.0
Ignalina d. mun.;2018;10.7
Molėtai d. mun.;1996;
Molėtai d. mun.;1997;
Molėtai d. mun.;1998;
Molėtai d. mun.;1999;
Molėtai d. mun.;2000;
Molėtai d. mun.;2001;18.6
Molėtai d. mun.;2002;18.4
Molėtai d. mun.;2003;18.1
Molėtai d. mun.;2004;17.7
Molėtai d. mun.;2005;17.4
Molėtai d. mun.;2006;16.9
Molėtai d. mun.;2007;16.6
Molėtai d. mun.;2008;16.3
Molėtai d. mun.;2009;15.9
Molėtai d. mun.;2010;15.5
Molėtai d. mun.;2011;15.2
Molėtai d. mun.;2012;14.9
Molėtai d. mun.;2013;14.7
Molėtai d. mun.;2014;14.3
Molėtai d. mun.;2015;14.1
Molėtai d. mun.;2016;13.8
Molėtai d. mun.;2017;13.5
Molėtai d. mun.;2018;13.1
Utena d. mun.;1996;
Utena d. mun.;1997;
Utena d. mun.;1998;
Utena d. mun.;1999;
Utena d. mun.;2000;
Utena d. mun.;2001;40.8
Utena d. mun.;2002;40.5
Utena d. mun.;2003;40.2
Utena d. mun.;2004;39.7
Utena d. mun.;2005;39.2
Utena d. mun.;2006;38.5
Utena d. mun.;2007;38.0
Utena d. mun.;2008;37.4
Utena d. mun.;2009;37.0
Utena d. mun.;2010;36.3
Utena d. mun.;2011;35.3
Utena d. mun.;2012;34.6
Utena d. mun.;2013;33.9
Utena d. mun.;2014;33.3
Utena d. mun.;2015;32.9
Utena d. mun.;2016;32.4
Utena d. mun.;2017;31.6
Utena d. mun.;2018;30.8
Visaginas mun.;1996;
Visaginas mun.;1997;
Visaginas mun.;1998;
Visaginas mun.;1999;
Visaginas mun.;2000;
Visaginas mun.;2001;3299.7
Visaginas mun.;2002;3190.9
Visaginas mun.;2003;3118.4
Visaginas mun.;2004;3101.7
Visaginas mun.;2005;470.7
Visaginas mun.;2006;455.5
Visaginas mun.;2007;446.5
Visaginas mun.;2008;435.0
Visaginas mun.;2009;424.9
Visaginas mun.;2010;413.7
Visaginas mun.;2011;391.5
Visaginas mun.;2012;377.9
Visaginas mun.;2013;366.2
Visaginas mun.;2014;355.6
Visaginas mun.;2015;349.1
Visaginas mun.;2016;340.9
Visaginas mun.;2017;330.7
Visaginas mun.;2018;322.2
Zarasai d. mun.;1996;
Zarasai d. mun.;1997;
Zarasai d. mun.;1998;
Zarasai d. mun.;1999;
Zarasai d. mun.;2000;
Zarasai d. mun.;2001;17.1
Zarasai d. mun.;2002;17.0
Zarasai d. mun.;2003;16.8
Zarasai d. mun.;2004;16.4
Zarasai d. mun.;2005;16.0
Zarasai d. mun.;2006;15.6
Zarasai d. mun.;2007;15.3
Zarasai d. mun.;2008;14.9
Zarasai d. mun.;2009;14.5
Zarasai d. mun.;2010;14.3
Zarasai d. mun.;2011;13.8
Zarasai d. mun.;2012;13.5
Zarasai d. mun.;2013;13.3
Zarasai d. mun.;2014;13.0
Zarasai d. mun.;2015;12.8
Zarasai d. mun.;2016;12.5
Zarasai d. mun.;2017;12.1
Zarasai d. mun.;2018;11.8
